Order_ID,Order_Date,Shipment_ID,Shipment_Date,"Tax_Calculated_Date (UTC)",Posted_Date,Transaction_Item_ID,Marketplace,Merchant_ID,Fulfillment,ASIN,SKU,Product_Description,Transaction_Type,Product_Tax_Code,Quantity,Currency,Buyer_Exemption_Code,Buyer_Exemption_Domain,Buyer_Exemption_Certificate_Id,Display_Price,Display_Price_Tax_Inclusive,TaxExclusive_Selling_Price,Total_Tax,Financial_Component,Ship_From_City,Ship_From_State,Ship_From_Country,Ship_From_Postal_Code,Ship_From_Tax_Location_Code,Ship_To_City,Ship_To_State,Ship_To_Country,Ship_To_Postal_Code,Ship_To_Location_Code,Return_FC_City,Return_FC_State,Return_FC_Country,Return_FC_Postal_Code,Return_FC_Tax_Location_Code,Taxed_Location_Code,Tax_Address_Role,Jurisdiction_Level,Jurisdiction_Name,"Tax Marker",Display_Promo_Amount,Display_Promo_Tax_Inclusive,Is_Customer_3P_Funding_Aware,isPromoApplied,postPromoTaxableBasis,prePromoTaxableBasis,Promo_Amount_Basis,Promo_ID_Domain,promoAmountTax,Promotion_Identifier,Promo_Rule_Reason_Code,Promo_Tax_Price_Type,Tax_Amount,Taxed_Jurisdiction_Tax_Rate,Tax_Type,Tax_Calculation_Reason_Code,NonTaxable_Amount,Taxable_Amount,Order_Tax_Amount,Order_NonTaxable_Amount,Order_Taxable_Amount,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShipTo,District,"NOT APPLICABLE",X,,,,,,,,,,,,,0.00,0.0,,ZeroRated,13.99,0.00,,,,
111-0395577-4157845,2016-10-03+00:00,DPskytm9N,2016-10-03+00:00,2016-10-03+15:36:12,2016-10-03+00:00,1822384652088,Amazon.com,A6G7H9DQH5S17,MFN,B001J5N3UE,FPK566G,,SHIPMENT,A_GEN_TAX,1,USD,,,,3.99,false,3.99,0.00,SHIPPING,"Idaho Falls",ID,US,83402,470590000,KALAMA,WA,US,98625-1300,480151658,,,,,,480151658,ShipTo,State,WA,X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,3.99,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShipTo,City,KALAMA,X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,3.99,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShipTo,County,COWLITZ,X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,3.99,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShipTo,District,"NOT APPLICABLE",X,,,,,,,,,,,,,0.00,0.0,,ZeroRated,3.99,0.00,,,,
115-1406482-0977833,2016-10-03+00:00,DkHL1T0wN,2016-10-04+00:00,2016-10-03+22:22:10,2016-10-04+00:00,1274189186025,Amazon.com,A6G7H9DQH5S17,MFN,1569390754,217709,,SHIPMENT,A_GEN_TAX,1,USD,,,,5.85,false,5.85,0.00,OUR_PRICE,"Idaho Falls",ID,US,83402,470590000,SEATTLE,WA,US,98118-4903,480330650,,,,,,480330650,ShipTo,State,WA,X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,5.85,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShipTo,City,SEATTLE,X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,5.85,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShipTo,County,KING,X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,5.85,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShipTo,District,"REGIONAL TRANSIT AUTHORITY",X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,5.85,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShipTo,District,"TRANSPORTATION BENEFIT DISTRICT",X,,,,,,,,,,,,,0.00,0.0,,NonTaxable,5.85,0.00,,,,
